Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 8.6771e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8517e+02 -8.5039e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.7033e+02 -8.7961e-11 -7.2309e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1555e+03 -1.1292e-09 -1.6872e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5407e+03 -7.2105e-09 7.1032e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9258e+03 -1.4423e-08 1.1099e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3110e+03 1.7692e-07 8.4331e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.6962e+03 1.9856e-06 2.9209e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0813e+03 9.9678e-06 -9.7605e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.4665e+03 2.2261e-05 -1.9413e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8517e+03 -4.7921e-05 -1.2582e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2368e+03 -5.9292e-04 -4.3532e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6220e+03 -2.3391e-03 -3.4594e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0072e+03 -4.5835e-03 5.0106e-05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3923e+03 1.2896e-04 3.1544e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7775e+03 2.9478e-02 9.9905e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1627e+03 9.3916e-02 1.6439e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5478e+03 1.4901e-01 -6.0581e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9330e+03 7.2711e-02 -1.2026e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.3182e+03 -2.3249e-01 -3.7441e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.7033e+03 -6.4526e-01 -6.6360e-02 -2.7160e-33 -2.7160e-33 0.0000e+00 0.0000e+00
