Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 1.1824e+08 7.2520e-01 4.9983e-01 9.6150e-05 1.6608e-03 5.4476e-04 2.6371e-04
2.5354e-06 1.1824e+08 7.2502e-01 5.0197e-01 9.4158e-05 1.6320e-03 5.2032e-04 2.5697e-04
5.0709e-06 5.9121e+07 7.2447e-01 5.0450e-01 8.8510e-05 1.5474e-03 4.5234e-04 2.4916e-04
7.6063e-06 3.9414e+07 7.2356e-01 5.0161e-01 8.0148e-05 1.4120e-03 3.5511e-04 2.7150e-04
1.0142e-05 2.9560e+07 7.2228e-01 4.9460e-01 7.0482e-05 1.2348e-03 2.4734e-04 3.5916e-04
1.2677e-05 2.3648e+07 7.2065e-01 4.9062e-01 6.1159e-05 1.0295e-03 1.4708e-04 5.3438e-04
1.5213e-05 1.9707e+07 7.1867e-01 4.9172e-01 5.3738e-05 8.1464e-04 6.8126e-05 7.9488e-04
1.7748e-05 1.6892e+07 7.1633e-01 4.8873e-01 4.9329e-05 6.1322e-04 1.8535e-05 1.1122e-03
2.0283e-05 1.4780e+07 7.1366e-01 4.6964e-01 4.8283e-05 4.4903e-04 7.2554e-07 1.4390e-03
2.2819e-05 1.3138e+07 7.1064e-01 4.3334e-01 5.0043e-05 3.4144e-04 1.2049e-05 1.7216e-03
2.5354e-05 1.1824e+07 7.0730e-01 3.9242e-01 5.3247e-05 3.0009e-04 4.5298e-05 1.9125e-03
2.7890e-05 1.0749e+07 7.0364e-01 3.6152e-01 5.6089e-05 3.2212e-04 8.9597e-05 1.9798e-03
3.0425e-05 9.8534e+06 6.9967e-01 3.4466e-01 5.6870e-05 3.9296e-04 1.3252e-04 1.9124e-03
3.2961e-05 9.0955e+06 6.9540e-01 3.3500e-01 5.4547e-05 4.8994e-04 1.6368e-04 1.7230e-03
3.5496e-05 8.4458e+06 6.9084e-01 3.2478e-01 4.9110e-05 5.8699e-04 1.7867e-04 1.4486e-03
3.8031e-05 7.8828e+06 6.8600e-01 3.1265e-01 4.1632e-05 6.5905e-04 1.8151e-04 1.1464e-03
4.0567e-05 7.3901e+06 6.8090e-01 3.0157e-01 3.3983e-05 6.8631e-04 1.8357e-04 8.8484e-04
4.3102e-05 6.9554e+06 6.7554e-01 2.9286e-01 2.8285e-05 6.5829e-04 1.9885e-04 7.2554e-04
4.5638e-05 6.5690e+06 6.6995e-01 2.8476e-01 2.6289e-05 5.7725e-04 2.3702e-04 7.0114e-04
4.8173e-05 6.2232e+06 6.6413e-01 2.7565e-01 2.8858e-05 4.5866e-04 2.9793e-04 7.9681e-04
5.0709e-05 5.9121e+06 6.5810e-01 2.6620e-01 3.5717e-05 3.2697e-04 3.7053e-04 9.4711e-04
5.3244e-05 5.6305e+06 6.5187e-01 2.5771e-01 4.5545e-05 2.0721e-04 4.3790e-04 1.0568e-03
5.5779e-05 5.3746e+06 6.4547e-01 2.4993e-01 5.6360e-05 1.1626e-04 4.8646e-04 1.0433e-03
5.8315e-05 5.1409e+06 6.3890e-01 2.4177e-01 6.6072e-05 5.8304e-05 5.1460e-04 8.8455e-04
6.0850e-05 4.9267e+06 6.3218e-01 2.3306e-01 7.3005e-05 2.7109e-05 5.3529e-04 6.4618e-04
6.3386e-05 4.7297e+06 6.2533e-01 2.2467e-01 7.6218e-05 1.2992e-05 5.6975e-04 4.6626e-04
6.5921e-05 4.5477e+06 6.1837e-01 2.1687e-01 7.5558e-05 9.3768e-06 6.3403e-04 4.9451e-04
6.8457e-05 4.3793e+06 6.1131e-01 2.0895e-01 7.1479e-05 1.4495e-05 7.2574e-04 8.1022e-04
7.0992e-05 4.2229e+06 6.0418e-01 2.0047e-01 6.4771e-05 2.7903e-05 8.1928e-04 1.3621e-03
7.3527e-05 4.0773e+06 5.9698e-01 1.9200e-01 5.6335e-05 4.5804e-05 8.7459e-04 1.9694e-03
7.6063e-05 3.9414e+06 5.8973e-01 1.8401e-01 4.7055e-05 6.0067e-05 8.5662e-04 2.3936e-03
7.8598e-05 3.8142e+06 5.8246e-01 1.7593e-01 3.7746e-05 6.2531e-05 7.5547e-04 2.4510e-03
8.1134e-05 3.6950e+06 5.7518e-01 1.6703e-01 2.9119e-05 5.1378e-05 5.9534e-04 2.1056e-03
8.3669e-05 3.5831e+06 5.6791e-01 1.5760e-01 2.1697e-05 3.4106e-05 4.2571e-04 1.4900e-03
8.6205e-05 3.4777e+06 5.6066e-01 1.4857e-01 1.5740e-05 2.3890e-05 2.9826e-04 8.3932e-04
8.8740e-05 3.3783e+06 5.5346e-01 1.4002e-01 1.1216e-05 3.1279e-05 2.4200e-04 3.7314e-04
9.1275e-05 3.2845e+06 5.4632e-01 1.3116e-01 7.8850e-06 5.7016e-05 2.5071e-04 1.9260e-04
9.3811e-05 3.1957e+06 5.3925e-01 1.2190e-01 5.4413e-06 9.1243e-05 2.8952e-04 2.4864e-04
9.6346e-05 3.1116e+06 5.3228e-01 1.1327e-01 3.6459e-06 1.1970e-04 3.1631e-04 3.9398e-04
9.8882e-05 3.0318e+06 5.2542e-01 1.0558e-01 2.3724e-06 1.3253e-04 3.0459e-04 4.8041e-04
1.0142e-04 2.9560e+06 5.1869e-01 9.7123e-02 1.5560e-06 1.2943e-04 2.5486e-04 4.3959e-04
1.0395e-04 2.8839e+06 5.1210e-01 8.6067e-02 1.1101e-06 1.1821e-04 1.8906e-04 3.0223e-04
1.0649e-04 2.8153e+06 5.0566e-01 7.3649e-02 8.8955e-07 1.0821e-04 1.3377e-04 1.5439e-04
1.0902e-04 2.7498e+06 4.9940e-01 6.3993e-02 7.3066e-07 1.0414e-04 1.0392e-04 6.9528e-05
1.1156e-04 2.6873e+06 4.9333e-01 6.0086e-02 5.3207e-07 1.0433e-04 9.6858e-05 6.4019e-05
1.1409e-04 2.6276e+06 4.8746e-01 6.0659e-02 3.0176e-07 1.0411e-04 9.8436e-05 1.0037e-04
1.1663e-04 2.5705e+06 4.8181e-01 6.1859e-02 1.2725e-07 1.0094e-04 9.4910e-05 1.2602e-04
1.1917e-04 2.5158e+06 4.7638e-01 6.1435e-02 8.9433e-08 9.6911e-05 8.1586e-05 1.1331e-04
1.2170e-04 2.4634e+06 4.7119e-01 6.0241e-02 1.8741e-07 9.7020e-05 6.3242e-05 7.2439e-05
1.2424e-04 2.4131e+06 4.6626e-01 5.9861e-02 3.3176e-07 1.0486e-04 4.7889e-05 3.3810e-05
1.2677e-04 2.3648e+06 4.6159e-01 6.0194e-02 4.0863e-07 1.1927e-04 3.9871e-05 1.9648e-05
1.2931e-04 2.3185e+06 4.5719e-01 6.0065e-02 3.6169e-07 1.3460e-04 3.7445e-05 2.8546e-05
1.3184e-04 2.2739e+06 4.5308e-01 5.9237e-02 2.2850e-07 1.4419e-04 3.5633e-05 4.1994e-05
1.3438e-04 2.2310e+06 4.4927e-01 5.8616e-02 1.0597e-07 1.4448e-04 3.0922e-05 4.3024e-05
1.3691e-04 2.1897e+06 4.4575e-01 5.8670e-02 7.5403e-08 1.3688e-04 2.3692e-05 2.9472e-05
1.3945e-04 2.1498e+06 4.4255e-01 5.8761e-02 1.4511e-07 1.2640e-04 1.6910e-05 1.2240e-05
1.4198e-04 2.1115e+06 4.3966e-01 5.8290e-02 2.5115e-07 1.1829e-04 1.2952e-05 3.1686e-06
1.4452e-04 2.0744e+06 4.3710e-01 5.7659e-02 3.1034e-07 1.1508e-04 1.1627e-05 4.8412e-06
1.4705e-04 2.0386e+06 4.3487e-01 5.7542e-02 2.8222e-07 1.1581e-04 1.0865e-05 1.0600e-05
1.4959e-04 2.0041e+06 4.3297e-01 5.7771e-02 1.9437e-07 1.1739e-04 8.9683e-06 1.2549e-05
1.5213e-04 1.9707e+06 4.3141e-01 5.7665e-02 1.1612e-07 1.1693e-04 6.0998e-06 8.7595e-06
1.5466e-04 1.9384e+06 4.3019e-01 5.7178e-02 1.0425e-07 1.1341e-04 3.7521e-06 3.3132e-06
1.5720e-04 1.9071e+06 4.2932e-01 5.6947e-02 1.6198e-07 1.0805e-04 3.0146e-06 7.2001e-07
1.5973e-04 1.8768e+06 4.2880e-01 5.7221e-02 2.3979e-07 1.0330e-04 3.4900e-06 1.3117e-06
1.6227e-04 1.8475e+06 4.2863e-01 5.7450e-02 2.7502e-07 1.0141e-04 3.8795e-06 2.1139e-06
