Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 4.4341e+07 1.0968e-04 3.2273e-01 1.3958e-12 1.8071e-08 2.0901e-08 2.2423e-08
6.7611e-06 4.4341e+07 5.1322e-04 3.2289e-01 1.4089e-12 1.8423e-08 2.0994e-08 2.2531e-08
1.3522e-05 2.2170e+07 1.7295e-03 3.2338e-01 1.4469e-12 1.9436e-08 2.1275e-08 2.2857e-08
2.0283e-05 1.4780e+07 3.7758e-03 3.2419e-01 1.5054e-12 2.0985e-08 2.1746e-08 2.3407e-08
2.7045e-05 1.1085e+07 6.6805e-03 3.2531e-01 1.5779e-12 2.2878e-08 2.2413e-08 2.4193e-08
3.3806e-05 8.8681e+06 1.0484e-02 3.2674e-01 1.6560e-12 2.4885e-08 2.3286e-08 2.5232e-08
4.0567e-05 7.3901e+06 1.5237e-02 3.2845e-01 1.7302e-12 2.6772e-08 2.4381e-08 2.6551e-08
4.7328e-05 6.3344e+06 2.1004e-02 3.3044e-01 1.7912e-12 2.8342e-08 2.5720e-08 2.8184e-08
5.4089e-05 5.5426e+06 2.7858e-02 3.3268e-01 1.8307e-12 2.9478e-08 2.7337e-08 3.0178e-08
6.0850e-05 4.9267e+06 3.5886e-02 3.3514e-01 1.8427e-12 3.0194e-08 2.9278e-08 3.2595e-08
6.7611e-05 4.4341e+06 4.5186e-02 3.3781e-01 1.8244e-12 3.0672e-08 3.1603e-08 3.5513e-08
7.4373e-05 4.0310e+06 5.5865e-02 3.4065e-01 1.7779e-12 3.1305e-08 3.4394e-08 3.9030e-08
8.1134e-05 3.6950e+06 6.8044e-02 3.4362e-01 1.7103e-12 3.2724e-08 3.7751e-08 4.3266e-08
8.7895e-05 3.4108e+06 8.1852e-02 3.4669e-01 1.6354e-12 3.5813e-08 4.1801e-08 4.8366e-08
9.4656e-05 3.1672e+06 9.7430e-02 3.4982e-01 1.5732e-12 4.1715e-08 4.6696e-08 5.4504e-08
1.0142e-04 2.9560e+06 1.1493e-01 3.5297e-01 1.5508e-12 5.1812e-08 5.2619e-08 6.1879e-08
1.0818e-04 2.7713e+06 1.3450e-01 3.5608e-01 1.6020e-12 6.7697e-08 5.9782e-08 7.0725e-08
