Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
7.9232e+01 3.7837e+00 7.2111e-02 8.8543e-08 1.6892e-06 4.7405e-07 1.4412e-07 3.4483e-07
8.0849e+01 3.7080e+00 7.7508e-02 1.2677e-07 2.3997e-06 6.2715e-07 2.0166e-07 4.5757e-07
8.2466e+01 3.6353e+00 9.3946e-02 1.3749e-07 2.5998e-06 6.6749e-07 2.1780e-07 4.8668e-07
8.4083e+01 3.5654e+00 9.0808e-02 1.0164e-07 1.9338e-06 5.2415e-07 1.6388e-07 3.8104e-07
8.5700e+01 3.4982e+00 7.6223e-02 9.0214e-08 1.7209e-06 4.8162e-07 1.4676e-07 3.5024e-07
8.7317e+01 3.4334e+00 8.1009e-02 1.2414e-07 2.3513e-06 6.1811e-07 1.9783e-07 4.5088e-07
8.8934e+01 3.3710e+00 9.7667e-02 1.3662e-07 2.5841e-06 6.6550e-07 2.1661e-07 4.8528e-07
9.0551e+01 3.3108e+00 9.5370e-02 1.0529e-07 2.0020e-06 5.3966e-07 1.6948e-07 3.9242e-07
9.2168e+01 3.2527e+00 8.0949e-02 9.2534e-08 1.7645e-06 4.9174e-07 1.5038e-07 3.5754e-07
9.3785e+01 3.1966e+00 8.5033e-02 1.2184e-07 2.3092e-06 6.1035e-07 1.9453e-07 4.4508e-07
9.5402e+01 3.1424e+00 1.0149e-01 1.3529e-07 2.5600e-06 6.6181e-07 2.1473e-07 4.8262e-07
9.7019e+01 3.0900e+00 1.0011e-01 1.0873e-07 2.0666e-06 5.5459e-07 1.7476e-07 4.0344e-07
9.8636e+01 3.0394e+00 8.6321e-02 9.5496e-08 1.8200e-06 5.0443e-07 1.5494e-07 3.6679e-07
1.0025e+02 2.9904e+00 8.9666e-02 1.2000e-07 2.2753e-06 6.0422e-07 1.9189e-07 4.4046e-07
1.0187e+02 2.9429e+00 1.0542e-01 1.3355e-07 2.5280e-06 6.5646e-07 2.1225e-07 4.7866e-07
1.0349e+02 2.8969e+00 1.0497e-01 1.1190e-07 2.1260e-06 5.6861e-07 1.7964e-07 4.1375e-07
