Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
3.3130e-04 9.0491e+05 2.6021e+00 3.8413e-58 5.9214e-30 4.4493e-09 5.3726e-67 2.4445e-47
3.3806e-04 8.8681e+05 2.7072e+00 2.2556e-58 5.3876e-30 4.7089e-09 5.3718e-67 2.4440e-47
3.4482e-04 8.6942e+05 2.8090e+00 1.0055e-58 4.8577e-30 4.9614e-09 5.3710e-67 2.4435e-47
3.5158e-04 8.5270e+05 2.9065e+00 2.6186e-59 4.3375e-30 5.2047e-09 5.3703e-67 2.4430e-47
3.5834e-04 8.3661e+05 2.9993e+00 1.5522e-59 3.8331e-30 5.4368e-09 5.3697e-67 2.4426e-47
3.6510e-04 8.2112e+05 3.0865e+00 7.6063e-59 3.3503e-30 5.6556e-09 5.3691e-67 2.4422e-47
3.7186e-04 8.0619e+05 3.1677e+00 2.0880e-58 2.8946e-30 5.8594e-09 5.3685e-67 2.4418e-47
3.7862e-04 7.9179e+05 3.2420e+00 4.0784e-58 2.4715e-30 6.0464e-09 5.3680e-67 2.4415e-47
3.8539e-04 7.7790e+05 3.3091e+00 6.6072e-58 2.0856e-30 6.2152e-09 5.3676e-67 2.4412e-47
3.9215e-04 7.6449e+05 3.3684e+00 9.4935e-58 1.7416e-30 6.3643e-09 5.3672e-67 2.4409e-47
3.9891e-04 7.5153e+05 3.4193e+00 1.2516e-57 1.4435e-30 6.4925e-09 5.3669e-67 2.4407e-47
4.0567e-04 7.3901e+05 3.4616e+00 1.5434e-57 1.1946e-30 6.5989e-09 5.3666e-67 2.4405e-47
4.1243e-04 7.2689e+05 3.4948e+00 1.8006e-57 9.9803e-31 6.6825e-09 5.3664e-67 2.4404e-47
4.1919e-04 7.1517e+05 3.5188e+00 2.0018e-57 8.5593e-31 6.7426e-09 5.3663e-67 2.4403e-47
4.2595e-04 7.0382e+05 3.5332e+00 2.1298e-57 7.7000e-31 6.7789e-09 5.3662e-67 2.4402e-47
4.3271e-04 6.9282e+05 3.5380e+00 2.1738e-57 7.4125e-31 6.7911e-09 5.3661e-67 2.4402e-47
