Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 7.4161e+09 9.7518e-01 3.5046e-02 5.7374e-07 5.9464e-04 6.6422e-05 3.6834e-04
4.0425e-08 7.4161e+09 4.9326e-01 2.4673e-02 4.2483e-07 3.6726e-04 4.7796e-05 3.7008e-04
8.0849e-08 3.7080e+09 7.9711e-03 1.4045e-02 3.7421e-07 9.3128e-05 1.8332e-05 3.0327e-04
1.2127e-07 2.4720e+09 4.8652e-01 2.4031e-02 1.3399e-06 3.0395e-04 1.4570e-05 1.3318e-04
1.6170e-07 1.8540e+09 9.7518e-01 3.4607e-02 3.7346e-06 7.7119e-04 2.8827e-05 1.9552e-05
2.0212e-07 1.4832e+09 5.0004e-01 2.4712e-02 6.2575e-06 8.9571e-04 3.0774e-05 7.4443e-05
2.4255e-07 1.2360e+09 8.0659e-03 1.3993e-02 6.4808e-06 6.0890e-04 1.6570e-05 1.5118e-04
2.8297e-07 1.0594e+09 4.7983e-01 2.3654e-02 3.6649e-06 3.1194e-04 4.3448e-06 9.2594e-05
3.2340e-07 9.2701e+08 9.7519e-01 3.4363e-02 4.9996e-07 1.9747e-04 2.6620e-06 3.7343e-06
3.6382e-07 8.2401e+08 5.0688e-01 2.4810e-02 5.9019e-07 1.6563e-04 9.5403e-06 4.6540e-05
4.0425e-07 7.4161e+08 8.2555e-03 1.4138e-02 4.0601e-06 1.8944e-04 2.1596e-05 1.4216e-04
4.4467e-07 6.7419e+08 4.7319e-01 2.3817e-02 7.0989e-06 2.8112e-04 2.6423e-05 1.2891e-04
4.8509e-07 6.1801e+08 9.7520e-01 3.4794e-02 6.4760e-06 2.9548e-04 1.2775e-05 5.8356e-05
5.2552e-07 5.7047e+08 5.1377e-01 2.5240e-02 3.1805e-06 1.8131e-04 5.5594e-08 7.2376e-05
5.6594e-07 5.2972e+08 8.5401e-03 1.3959e-02 5.7714e-07 1.8445e-04 2.0304e-05 1.2135e-04
6.0637e-07 4.9441e+08 4.6660e-01 2.3130e-02 1.4880e-07 4.0570e-04 5.9336e-05 7.4411e-05
6.4679e-07 4.6351e+08 9.7522e-01 3.4317e-02 6.3022e-07 4.8331e-04 6.4707e-05 2.0600e-06
6.8722e-07 4.3624e+08 5.2072e-01 2.5168e-02 7.0800e-07 1.9150e-04 2.9289e-05 7.7830e-05
7.2764e-07 4.1201e+08 8.9197e-03 1.3901e-02 7.1839e-07 8.1801e-06 8.7413e-06 2.6877e-04
7.6807e-07 3.9032e+08 4.6005e-01 2.3100e-02 1.4445e-06 4.7908e-04 2.9956e-05 3.7061e-04
8.0849e-07 3.7080e+08 9.7524e-01 3.4710e-02 2.6348e-06 1.2677e-03 4.7955e-05 3.0357e-04
8.4892e-07 3.5315e+08 5.2771e-01 2.5767e-02 3.3418e-06 1.5081e-03 3.3061e-05 1.6759e-04
8.8934e-07 3.3710e+08 9.3946e-03 1.4024e-02 3.0260e-06 9.8619e-04 3.0786e-05 6.3499e-05
9.2976e-07 3.2244e+08 4.5356e-01 2.2789e-02 1.9478e-06 3.2457e-04 7.6864e-05 4.2099e-05
9.7019e-07 3.0900e+08 9.7527e-01 3.4667e-02 8.9371e-07 3.3721e-05 1.1711e-04 1.4511e-04
1.0106e-06 2.9664e+08 5.3476e-01 2.6083e-02 5.8210e-07 1.2729e-05 8.7222e-05 3.1263e-04
1.0510e-06 2.8523e+08 9.9649e-03 1.4089e-02 9.4503e-07 4.3135e-05 2.2959e-05 3.5374e-04
1.0915e-06 2.7467e+08 4.4710e-01 2.2510e-02 1.1498e-06 1.6914e-04 6.9489e-06 1.9990e-04
1.1319e-06 2.6486e+08 9.7530e-01 3.4637e-02 7.3529e-07 4.0603e-04 3.9677e-05 6.4675e-05
1.1723e-06 2.5573e+08 5.4187e-01 2.6413e-02 3.0697e-07 5.5081e-04 5.1022e-05 1.4207e-04
1.2127e-06 2.4720e+08 1.0631e-02 1.4204e-02 5.1486e-07 5.0101e-04 2.2232e-05 2.8710e-04
1.2532e-06 2.3923e+08 4.4070e-01 2.2262e-02 9.2651e-07 4.1551e-04 7.5684e-06 2.4762e-04
1.2936e-06 2.3175e+08 9.7534e-01 3.4530e-02 8.0102e-07 3.9458e-04 3.2758e-05 8.1689e-05
1.3340e-06 2.2473e+08 5.4903e-01 2.6564e-02 4.2112e-07 3.1110e-04 5.3225e-05 4.8168e-05
1.3744e-06 2.1812e+08 1.1393e-02 1.4167e-02 5.3612e-07 1.1202e-04 3.3487e-05 1.7206e-04
1.4149e-06 2.1189e+08 4.3433e-01 2.2022e-02 9.2242e-07 4.2151e-06 3.8915e-06 2.3133e-04
1.4553e-06 2.0600e+08 9.7538e-01 3.4603e-02 7.6335e-07 1.6231e-04 8.3342e-06 1.3921e-04
1.4957e-06 2.0044e+08 5.5625e-01 2.6936e-02 1.7552e-07 4.5257e-04 3.8971e-05 4.6565e-05
1.5361e-06 1.9516e+08 1.2251e-02 1.4217e-02 4.3928e-08 5.9923e-04 5.3754e-05 6.7658e-05
1.5766e-06 1.9016e+08 4.2801e-01 2.1675e-02 4.9041e-07 4.9310e-04 3.5258e-05 1.5782e-04
1.6170e-06 1.8540e+08 9.7543e-01 3.4484e-02 7.8149e-07 2.4598e-04 7.8428e-06 2.5718e-04
1.6574e-06 1.8088e+08 5.6353e-01 2.7198e-02 6.4931e-07 5.2779e-05 3.2494e-06 3.2971e-04
1.6978e-06 1.7657e+08 1.3206e-02 1.4282e-02 4.8927e-07 4.6674e-05 2.1325e-05 2.9091e-04
1.7383e-06 1.7247e+08 4.2174e-01 2.1358e-02 4.5607e-07 1.8603e-04 3.0872e-05 1.2349e-04
1.7787e-06 1.6855e+08 9.7548e-01 3.4309e-02 6.4914e-07 2.7315e-04 1.4792e-05 1.1828e-05
1.8191e-06 1.6480e+08 5.7087e-01 2.7383e-02 1.8294e-06 1.8611e-04 1.8524e-06 1.1788e-04
1.8595e-06 1.6122e+08 1.4259e-02 1.4429e-02 4.3306e-06 6.1669e-05 2.6961e-05 2.8992e-04
1.9000e-06 1.5779e+08 4.1550e-01 2.1372e-02 6.4913e-06 1.1538e-04 6.9114e-05 2.6415e-04
1.9404e-06 1.5450e+08 9.7554e-01 3.4589e-02 6.0602e-06 3.1694e-04 7.4293e-05 8.4943e-05
1.9808e-06 1.5135e+08 5.7827e-01 2.7888e-02 3.2931e-06 4.1578e-04 4.1118e-05 1.7804e-05
2.0212e-06 1.4832e+08 1.5408e-02 1.4561e-02 8.3523e-07 2.9599e-04 2.4792e-05 1.0325e-04
2.0617e-06 1.4541e+08 4.0931e-01 2.1030e-02 2.7191e-07 1.3358e-04 4.2459e-05 1.4013e-04
2.1021e-06 1.4262e+08 9.7561e-01 3.4374e-02 6.1547e-07 1.3183e-04 4.5722e-05 8.1448e-05
2.1425e-06 1.3993e+08 5.8573e-01 2.8029e-02 5.6189e-07 2.2797e-04 1.8703e-05 7.7360e-05
2.1829e-06 1.3734e+08 1.6656e-02 1.4619e-02 2.9547e-07 1.9732e-04 2.4542e-05 1.2602e-04
2.2234e-06 1.3484e+08 4.0316e-01 2.0852e-02 3.4533e-07 3.3451e-05 9.7336e-05 7.8684e-05
2.2638e-06 1.3243e+08 9.7568e-01 3.4353e-02 4.0020e-07 7.0661e-05 1.6039e-04 2.6191e-05
2.3042e-06 1.3011e+08 5.9325e-01 2.8226e-02 1.6123e-07 5.7000e-04 1.3005e-04 2.4608e-04
2.3446e-06 1.2786e+08 1.8003e-02 1.4599e-02 6.9831e-09 1.2293e-03 4.4290e-05 6.6279e-04
2.3850e-06 1.2570e+08 3.9705e-01 2.0600e-02 1.2067e-07 1.3813e-03 6.2020e-07 8.0907e-04
2.4255e-06 1.2360e+08 9.7575e-01 3.4383e-02 2.1394e-07 8.2111e-04 1.1041e-05 5.1361e-04
2.4659e-06 1.2158e+08 6.0084e-01 2.8599e-02 5.0883e-07 1.6919e-04 1.4685e-05 2.0385e-04
2.5063e-06 1.1961e+08 1.9449e-02 1.4795e-02 1.5204e-06 1.2093e-04 2.5347e-06 2.6330e-04
2.5467e-06 1.1772e+08 3.9098e-01 2.0521e-02 2.5569e-06 5.5042e-04 2.2636e-05 4.7134e-04
2.5872e-06 1.1588e+08 9.7583e-01 3.4507e-02 2.2073e-06 7.5972e-04 7.0377e-05 4.1479e-04
2.6276e-06 1.1409e+08 6.0849e-01 2.8979e-02 7.7035e-07 4.7663e-04 7.9342e-05 1.3976e-04
2.6680e-06 1.1237e+08 2.0996e-02 1.4917e-02 2.3915e-07 1.1018e-04 3.5003e-05 3.9474e-06
2.7084e-06 1.1069e+08 3.8495e-01 2.0324e-02 1.2194e-06 3.8877e-05 4.9284e-06 9.1461e-05
2.7489e-06 1.0906e+08 9.7591e-01 3.4518e-02 1.9543e-06 1.7237e-04 3.0032e-05 1.6836e-04
2.7893e-06 1.0748e+08 6.1621e-01 2.9287e-02 1.3249e-06 3.1397e-04 6.4625e-05 1.1116e-04
2.8297e-06 1.0594e+08 2.2643e-02 1.5033e-02 6.3828e-07 4.6220e-04 5.7048e-05 3.3123e-05
2.8701e-06 1.0445e+08 3.7896e-01 2.0206e-02 1.1362e-06 5.8511e-04 2.3614e-05 3.0168e-05
2.9106e-06 1.0300e+08 9.7601e-01 3.4676e-02 1.8028e-06 5.3426e-04 5.8548e-06 8.0021e-05
2.9510e-06 1.0159e+08 6.2400e-01 2.9703e-02 1.3095e-06 3.6342e-04 7.0766e-06 1.6546e-04
2.9914e-06 1.0022e+08 2.4391e-02 1.5072e-02 3.7591e-07 3.3548e-04 8.0111e-06 2.7580e-04
3.0318e-06 9.8881e+07 3.7300e-01 1.9809e-02 3.6740e-07 4.6734e-04 6.2691e-06 3.2758e-04
3.0723e-06 9.7580e+07 9.7610e-01 3.4535e-02 9.5009e-07 4.8211e-04 8.4927e-06 2.7182e-04
3.1127e-06 9.6313e+07 6.3185e-01 3.0028e-02 9.5318e-07 3.3058e-04 1.1088e-05 2.1135e-04
3.1531e-06 9.5078e+07 2.6242e-02 1.5273e-02 4.4564e-07 2.8601e-04 1.0540e-05 2.3489e-04
3.1935e-06 9.3875e+07 3.6709e-01 1.9639e-02 2.7447e-07 3.9777e-04 1.0965e-05 2.4144e-04
3.2340e-06 9.2701e+07 9.7620e-01 3.4481e-02 4.7009e-07 3.9482e-04 1.1379e-05 1.3128e-04
3.2744e-06 9.1557e+07 6.3978e-01 3.0283e-02 5.9109e-07 2.7999e-04 8.0627e-06 4.0635e-05
3.3148e-06 9.0440e+07 2.8196e-02 1.5387e-02 7.7624e-07 3.8556e-04 1.0230e-05 1.2963e-04
3.3552e-06 8.9351e+07 3.6121e-01 1.9470e-02 1.1829e-06 6.3414e-04 2.5936e-05 2.5530e-04
3.3957e-06 8.8287e+07 9.7631e-01 3.4466e-02 1.3441e-06 5.0116e-04 3.7324e-05 1.7490e-04
3.4361e-06 8.7248e+07 6.4778e-01 3.0498e-02 1.2048e-06 6.3427e-05 2.3870e-05 9.1873e-06
3.4765e-06 8.6234e+07 3.0254e-02 1.5392e-02 1.6130e-06 2.3620e-04 3.6669e-06 1.3494e-04
3.5169e-06 8.5242e+07 3.5537e-01 1.9304e-02 2.6571e-06 1.3601e-03 1.1177e-05 5.8376e-04
3.5574e-06 8.4274e+07 9.7642e-01 3.4722e-02 2.9294e-06 2.3394e-03 3.8721e-05 9.0812e-04
3.5978e-06 8.3327e+07 6.5585e-01 3.1164e-02 1.7173e-06 2.0203e-03 4.5251e-05 7.7091e-04
3.6382e-06 8.2401e+07 3.2417e-02 1.5693e-02 3.5456e-07 8.2613e-04 2.2706e-05 3.6522e-04
3.6786e-06 8.1496e+07 3.4957e-01 1.8983e-02 5.8691e-09 9.2607e-05 6.8795e-06 8.2120e-05
3.7191e-06 8.0610e+07 9.7654e-01 3.4407e-02 3.2124e-08 2.2764e-04 1.9071e-05 3.0247e-05
3.7595e-06 7.9743e+07 6.6399e-01 3.1207e-02 3.6714e-07 5.3376e-04 4.3171e-05 1.0238e-04
3.7999e-06 7.8895e+07 3.4686e-02 1.5748e-02 3.1840e-06 5.6485e-04 6.5814e-05 2.8630e-04
3.8403e-06 7.8064e+07 3.4381e-01 1.8987e-02 9.2264e-06 5.7888e-04 9.1960e-05 6.0802e-04
3.8808e-06 7.7251e+07 9.7666e-01 3.4820e-02 1.4288e-05 6.8990e-04 1.1149e-04 8.8228e-04
3.9212e-06 7.6455e+07 6.7221e-01 3.1970e-02 1.3263e-05 5.9700e-04 9.7021e-05 8.3366e-04
3.9616e-06 7.5674e+07 3.7063e-02 1.6124e-02 7.2200e-06 3.1973e-04 4.9955e-05 4.7568e-04
4.0020e-06 7.4910e+07 3.3808e-01 1.8809e-02 2.6257e-06 3.3124e-04 9.2585e-06 1.2971e-04
4.0425e-06 7.4161e+07 9.7679e-01 3.4777e-02 3.1122e-06 7.0954e-04 9.7321e-07 2.4822e-05
4.0829e-06 7.3427e+07 6.8051e-01 3.2312e-02 5.5378e-06 9.0522e-04 1.3297e-05 8.0103e-05
4.1233e-06 7.2707e+07 3.9547e-02 1.6225e-02 5.3422e-06 6.4561e-04 2.9181e-05 1.3689e-04
4.1637e-06 7.2001e+07 3.3239e-01 1.8383e-02 2.5423e-06 3.9799e-04 4.6512e-05 1.8860e-04
4.2042e-06 7.1309e+07 9.7693e-01 3.4415e-02 3.3080e-07 5.7285e-04 5.8789e-05 2.5749e-04
4.2446e-06 7.0629e+07 6.8889e-01 3.2386e-02 1.0614e-07 8.4357e-04 5.3354e-05 2.4182e-04
4.2850e-06 6.9963e+07 4.2141e-02 1.6331e-02 5.3852e-07 6.9759e-04 3.6292e-05 9.2965e-05
4.3254e-06 6.9309e+07 3.2673e-01 1.8299e-02 4.6895e-07 2.4252e-04 2.4946e-05 1.6074e-05
4.3659e-06 6.8668e+07 9.7707e-01 3.4546e-02 3.2862e-07 4.6719e-06 1.6251e-05 2.3468e-04
4.4063e-06 6.8038e+07 6.9735e-01 3.2833e-02 8.3294e-07 1.7114e-04 2.3558e-06 5.9513e-04
4.4467e-06 6.7419e+07 4.4846e-02 1.6558e-02 1.9990e-06 4.3027e-04 1.0794e-05 6.8417e-04
4.4871e-06 6.6812e+07 3.2111e-01 1.8143e-02 3.6431e-06 4.5641e-04 7.2949e-05 3.8900e-04
4.5276e-06 6.6215e+07 9.7721e-01 3.4544e-02 5.6180e-06 2.6008e-04 1.5062e-04 6.8715e-05
4.5680e-06 6.5629e+07 7.0589e-01 3.3168e-02 7.2453e-06 8.0820e-05 1.6006e-04 4.4342e-05
4.6084e-06 6.5053e+07 4.7663e-02 1.6720e-02 7.4365e-06 1.0224e-04 8.7663e-05 1.8129e-04
4.6488e-06 6.4488e+07 3.1552e-01 1.7985e-02 5.8639e-06 2.8400e-04 1.7922e-05 1.9171e-04
4.6892e-06 6.3932e+07 9.7737e-01 3.4619e-02 3.5103e-06 4.2797e-04 1.6884e-05 1.2054e-04
4.7297e-06 6.3385e+07 7.1451e-01 3.3632e-02 1.6743e-06 4.1543e-04 4.8365e-05 2.1163e-04
4.7701e-06 6.2848e+07 5.0593e-02 1.6960e-02 7.5913e-07 3.2913e-04 4.6781e-05 4.2365e-04
4.8105e-06 6.2320e+07 3.0997e-01 1.7755e-02 3.5125e-07 2.8819e-04 1.7786e-05 4.5486e-04
4.8509e-06 6.1801e+07 9.7752e-01 3.4479e-02 1.1758e-07 2.7482e-04 1.0698e-05 2.4129e-04
4.8914e-06 6.1290e+07 7.2322e-01 3.3866e-02 8.1866e-08 2.4034e-04 2.9790e-05 6.8663e-05
4.9318e-06 6.0788e+07 5.3638e-02 1.7136e-02 1.6675e-07 2.4849e-04 3.5796e-05 1.0939e-04
4.9722e-06 6.0293e+07 3.0445e-01 1.7714e-02 1.2673e-07 3.4443e-04 1.8691e-05 1.8415e-04
5.0126e-06 5.9807e+07 9.7769e-01 3.4682e-02 6.7550e-08 4.0772e-04 1.1763e-05 1.3530e-04
5.0531e-06 5.9329e+07 7.3202e-01 3.4346e-02 4.1165e-07 3.3204e-04 3.3016e-05 1.3228e-04
5.0935e-06 5.8858e+07 5.6800e-02 1.7227e-02 1.0681e-06 2.3750e-04 5.6901e-05 3.6886e-04
5.1339e-06 5.8394e+07 2.9897e-01 1.7264e-02 1.2756e-06 2.9864e-04 5.4118e-05 6.7894e-04
5.1743e-06 5.7938e+07 9.7786e-01 3.4434e-02 7.2060e-07 4.6297e-04 2.9793e-05 7.3062e-04
5.2148e-06 5.7489e+07 7.4091e-01 3.4672e-02 1.6690e-07 5.3893e-04 9.5397e-06 4.8106e-04
5.2552e-06 5.7047e+07 6.0079e-02 1.7553e-02 3.3582e-07 4.6389e-04 5.0966e-06 1.8847e-04
5.2956e-06 5.6611e+07 2.9352e-01 1.7217e-02 7.8084e-07 3.0585e-04 6.6884e-06 4.2994e-05
5.3360e-06 5.6183e+07 9.7803e-01 3.4459e-02 6.9910e-07 1.2406e-04 3.6866e-06 1.2568e-05
5.3765e-06 5.5760e+07 7.4988e-01 3.5031e-02 3.0365e-07 1.1123e-05 1.6323e-06 2.1770e-05
5.4169e-06 5.5344e+07 6.3478e-02 1.7786e-02 3.6583e-07 1.2822e-04 1.1529e-05 7.5381e-05
5.4573e-06 5.4934e+07 2.8811e-01 1.7096e-02 7.9523e-07 4.9365e-04 2.6086e-05 1.8484e-04
5.4977e-06 5.4530e+07 9.7822e-01 3.4442e-02 8.1140e-07 8.6225e-04 2.4346e-05 3.1206e-04
5.5382e-06 5.4132e+07 7.5896e-01 3.5304e-02 3.2476e-07 9.9275e-04 8.4405e-06 4.0348e-04
