Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
7.9232e+01 3.7837e+00 1.2415e-01 5.7568e-07 1.0467e-05 1.7908e-06 8.1080e-07 1.3340e-06
8.0849e+01 3.7080e+00 1.2961e-01 5.7719e-07 1.0492e-05 1.7925e-06 8.1257e-07 1.3361e-06
8.2466e+01 3.6353e+00 1.3521e-01 5.7875e-07 1.0520e-05 1.7983e-06 8.1467e-07 1.3409e-06
8.4083e+01 3.5654e+00 1.4095e-01 5.8035e-07 1.0550e-05 1.8090e-06 8.1716e-07 1.3491e-06
8.5700e+01 3.4982e+00 1.4683e-01 5.8197e-07 1.0580e-05 1.8167e-06 8.1949e-07 1.3551e-06
8.7317e+01 3.4334e+00 1.5285e-01 5.8360e-07 1.0608e-05 1.8195e-06 8.2153e-07 1.3579e-06
8.8934e+01 3.3710e+00 1.5901e-01 5.8527e-07 1.0637e-05 1.8252e-06 8.2381e-07 1.3626e-06
9.0551e+01 3.3108e+00 1.6532e-01 5.8699e-07 1.0670e-05 1.8362e-06 8.2650e-07 1.3709e-06
9.2168e+01 3.2527e+00 1.7178e-01 5.8873e-07 1.0702e-05 1.8451e-06 8.2911e-07 1.3777e-06
9.3785e+01 3.1966e+00 1.7838e-01 5.9048e-07 1.0733e-05 1.8491e-06 8.3141e-07 1.3811e-06
9.5402e+01 3.1424e+00 1.8514e-01 5.9227e-07 1.0764e-05 1.8547e-06 8.3388e-07 1.3857e-06
9.7019e+01 3.0900e+00 1.9205e-01 5.9410e-07 1.0799e-05 1.8657e-06 8.3675e-07 1.3938e-06
9.8636e+01 3.0394e+00 1.9912e-01 5.9596e-07 1.0834e-05 1.8756e-06 8.3961e-07 1.4012e-06
1.0025e+02 2.9904e+00 2.0634e-01 5.9783e-07 1.0867e-05 1.8806e-06 8.4218e-07 1.4053e-06
1.0187e+02 2.9429e+00 2.1372e-01 5.9973e-07 1.0901e-05 1.8863e-06 8.4482e-07 1.4098e-06
1.0349e+02 2.8969e+00 2.2126e-01 6.0168e-07 1.0938e-05 1.8970e-06 8.4786e-07 1.4177e-06
1.0510e+02 2.8523e+00 2.2897e-01 6.0365e-07 1.0975e-05 1.9078e-06 8.5095e-07 1.4256e-06
1.0672e+02 2.8091e+00 2.3683e-01 6.0563e-07 1.1011e-05 1.9139e-06 8.5376e-07 1.4303e-06
1.0834e+02 2.7672e+00 2.4487e-01 6.0764e-07 1.1047e-05 1.9196e-06 8.5658e-07 1.4348e-06
1.0995e+02 2.7265e+00 2.5307e-01 6.0970e-07 1.1085e-05 1.9301e-06 8.5976e-07 1.4424e-06
1.1157e+02 2.6870e+00 2.6144e-01 6.1178e-07 1.1125e-05 1.9415e-06 8.6306e-07 1.4507e-06
1.1319e+02 2.6486e+00 2.6998e-01 6.1388e-07 1.1163e-05 1.9486e-06 8.6610e-07 1.4561e-06
1.1481e+02 2.6113e+00 2.7870e-01 6.1600e-07 1.1201e-05 1.9544e-06 8.6909e-07 1.4606e-06
1.1642e+02 2.5750e+00 2.8759e-01 6.1816e-07 1.1242e-05 1.9646e-06 8.7241e-07 1.4680e-06
1.1804e+02 2.5398e+00 2.9666e-01 6.2035e-07 1.1283e-05 1.9766e-06 8.7590e-07 1.4766e-06
1.1966e+02 2.5054e+00 3.0592e-01 6.2255e-07 1.1324e-05 1.9846e-06 8.7915e-07 1.4825e-06
1.2127e+02 2.4720e+00 3.1535e-01 6.2477e-07 1.1364e-05 1.9907e-06 8.8231e-07 1.4872e-06
1.2289e+02 2.4395e+00 3.2497e-01 6.2704e-07 1.1406e-05 2.0006e-06 8.8576e-07 1.4944e-06
1.2451e+02 2.4078e+00 3.3477e-01 6.2933e-07 1.1450e-05 2.0129e-06 8.8941e-07 1.5032e-06
1.2612e+02 2.3770e+00 3.4476e-01 6.3164e-07 1.1493e-05 2.0219e-06 8.9287e-07 1.5098e-06
1.2774e+02 2.3469e+00 3.5494e-01 6.3397e-07 1.1535e-05 2.0284e-06 8.9619e-07 1.5147e-06
1.2936e+02 2.3175e+00 3.6532e-01 6.3633e-07 1.1579e-05 2.0380e-06 8.9976e-07 1.5217e-06
1.3098e+02 2.2889e+00 3.7589e-01 6.3872e-07 1.1624e-05 2.0505e-06 9.0356e-07 1.5307e-06
1.3259e+02 2.2610e+00 3.8666e-01 6.4113e-07 1.1669e-05 2.0605e-06 9.0721e-07 1.5379e-06
