Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
2.0414e+04 9.9961e-01 6.2685e-01 -1.4948e-01 -1.9268e-01 -7.6171e-02 1.4592e-01
2.0799e+04 7.2934e-01 2.8103e-01 -6.7355e-02 4.2085e-02 -5.2913e-03 2.4173e-01
2.1184e+04 9.1713e-02 -2.0369e-01 5.0540e-02 2.5782e-01 6.9538e-02 2.1207e-01
2.1569e+04 -5.9211e-01 -5.8489e-01 1.4224e-01 3.3994e-01 1.0812e-01 7.7172e-02
2.1954e+04 -9.7770e-01 -6.7260e-01 1.5999e-01 2.4519e-01 8.9779e-02 -9.0465e-02
2.2340e+04 -8.7082e-01 -4.2351e-01 9.5211e-02 2.4216e-02 2.4363e-02 -2.0568e-01
2.2725e+04 -3.2533e-01 3.7587e-02 -1.7814e-02 -2.0687e-01 -5.3501e-02 -2.1380e-01
2.3110e+04 3.8404e-01 4.7982e-01 -1.2060e-01 -3.2875e-01 -1.0317e-01 -1.1600e-01
2.3495e+04 8.9996e-01 6.8142e-01 -1.6093e-01 -2.8077e-01 -9.9237e-02 3.4111e-02
2.3880e+04 9.6259e-01 5.4093e-01 -1.1913e-01 -9.0515e-02 -4.4235e-02 1.5954e-01
2.4265e+04 5.4036e-01 1.2854e-01 -1.7359e-02 1.4257e-01 3.3210e-02 1.9924e-01
2.4651e+04 -1.5403e-01 -3.4872e-01 9.2265e-02 2.9930e-01 9.3299e-02 1.3790e-01
2.5036e+04 -7.7085e-01 -6.5093e-01 1.5419e-01 3.0137e-01 1.0533e-01 1.1582e-02
2.5421e+04 -9.9939e-01 -6.2606e-01 1.3741e-01 1.5007e-01 6.3211e-02 -1.1292e-01
2.5806e+04 -7.2455e-01 -2.8653e-01 5.0981e-02 -7.5517e-02 -1.1389e-02 -1.7351e-01
2.6191e+04 -8.4761e-02 1.9706e-01 -6.0685e-02 -2.5950e-01 -8.0039e-02 -1.4401e-01
2.6576e+04 5.9772e-01 5.8183e-01 -1.4055e-01 -3.0846e-01 -1.0726e-01 -4.5068e-02
2.6962e+04 9.7914e-01 6.7457e-01 -1.4814e-01 -1.9901e-01 -7.8996e-02 6.9637e-02
2.7347e+04 8.6737e-01 4.2860e-01 -8.0293e-02 1.0787e-02 -1.0078e-02 1.4272e-01
2.7732e+04 3.1872e-01 -3.2948e-02 2.7536e-02 2.1207e-01 6.3500e-02 1.4159e-01
2.8117e+04 -3.9047e-01 -4.7873e-01 1.1992e-01 3.0190e-01 1.0358e-01 7.1853e-02
2.8502e+04 -9.0298e-01 -6.8487e-01 1.5021e-01 2.3621e-01 8.9930e-02 -2.8913e-02
2.8887e+04 -9.6067e-01 -5.4714e-01 1.0425e-01 5.1427e-02 3.0521e-02 -1.1147e-01
2.9273e+04 -5.3448e-01 -1.3366e-01 6.6838e-03 -1.5613e-01 -4.3250e-02 -1.3807e-01
2.9658e+04 1.6093e-01 3.4846e-01 -9.2490e-02 -2.8097e-01 -9.3520e-02 -9.8198e-02
3.0043e+04 7.7527e-01 6.5656e-01 -1.4380e-01 -2.6214e-01 -9.5575e-02 -1.1655e-02
3.0428e+04 9.9912e-01 6.3449e-01 -1.2280e-01 -1.1237e-01 -4.9814e-02 8.0950e-02
3.0813e+04 7.1972e-01 2.9201e-01 -4.1295e-02 9.0859e-02 1.9581e-02 1.3596e-01
3.1198e+04 7.7806e-02 -1.9904e-01 5.9553e-02 2.4579e-01 7.7686e-02 1.2603e-01
3.1584e+04 -6.0330e-01 -5.9082e-01 1.2996e-01 2.7698e-01 9.6335e-02 5.3472e-02
3.1969e+04 -9.8053e-01 -6.8481e-01 1.3573e-01 1.7109e-01 6.7403e-02 -4.8948e-02
3.2354e+04 -8.6388e-01 -4.3274e-01 7.4510e-02 -1.8280e-02 5.9316e-03 -1.3168e-01
3.2739e+04 -3.1210e-01 3.8410e-02 -2.3414e-02 -1.9771e-01 -5.7714e-02 -1.5187e-01
3.3124e+04 3.9689e-01 4.9050e-01 -1.0982e-01 -2.7935e-01 -9.2580e-02 -9.5758e-02
3.3509e+04 9.0596e-01 6.9488e-01 -1.4199e-01 -2.2323e-01 -8.1862e-02 1.2027e-02
3.3895e+04 9.5871e-01 5.4827e-01 -1.0367e-01 -5.6603e-02 -3.0896e-02 1.1874e-01
