Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 1.1824e+08 4.7734e+00 1.1166e+00 2.1768e-02 3.4003e-02 3.0466e-04 3.0921e-04
2.5354e-06 1.1824e+08 3.2892e+00 1.7267e+00 5.5013e-02 5.2002e-01 2.7785e-02 1.6867e-01
5.0709e-06 5.9121e+07 3.1146e+00 3.4452e+00 1.3386e-01 1.3948e+00 8.0979e-02 4.4819e-01
7.6063e-06 3.9414e+07 7.8056e+00 4.9331e+00 1.8455e-01 1.5576e+00 9.8461e-02 4.4991e-01
1.0142e-05 2.9560e+07 1.0048e+01 3.7681e+00 1.2330e-01 7.1082e-01 5.1150e-02 1.4728e-01
1.2677e-05 2.3648e+07 3.7926e+00 9.1891e-01 1.4093e-02 2.7463e-02 8.7294e-04 2.0769e-02
1.5213e-05 1.9707e+07 4.6797e+00 4.4373e+00 1.6982e-01 1.3590e+00 9.2236e-02 6.2782e-01
1.7748e-05 1.6892e+07 4.2286e+01 2.4001e+01 9.4886e-01 5.5171e+00 4.4888e-01 2.0310e+00
2.0283e-05 1.4780e+07 1.2189e+02 5.8394e+01 2.3220e+00 1.1146e+01 1.0322e+00 3.6496e+00
2.2819e-05 1.3138e+07 2.0202e+02 9.0298e+01 3.6699e+00 1.5347e+01 1.5941e+00 4.6575e+00
2.5354e-05 1.1824e+07 2.2480e+02 9.8247e+01 4.1597e+00 1.5712e+01 1.8131e+00 4.5545e+00
2.7890e-05 1.0749e+07 1.7217e+02 7.6081e+01 3.4411e+00 1.2109e+01 1.5386e+00 3.4585e+00
3.0425e-05 9.8534e+06 8.4448e+01 3.9253e+01 1.9793e+00 6.7074e+00 9.2967e-01 1.9628e+00
3.2961e-05 9.0955e+06 1.9580e+01 1.0544e+01 6.5938e-01 2.2656e+00 3.3966e-01 7.2760e-01
3.5496e-05 8.4458e+06 5.9402e-01 4.7051e-01 5.0899e-02 2.1729e-01 3.7013e-02 1.0312e-01
3.8031e-05 7.8828e+06 7.3575e+00 2.4856e+00 5.6302e-02 1.0365e-01 2.2230e-02 1.1459e-02
4.0567e-05 7.3901e+06 1.1406e+01 4.8478e+00 2.0917e-01 5.4770e-01 1.0186e-01 1.2389e-01
4.3102e-05 6.9554e+06 5.8635e+00 3.1389e+00 2.0067e-01 6.0673e-01 1.1231e-01 1.6479e-01
4.5638e-05 6.5690e+06 7.0615e-01 6.2203e-01 7.3940e-02 2.8008e-01 4.9989e-02 8.8455e-02
4.8173e-05 6.2232e+06 1.7153e+00 4.5372e-01 4.5770e-03 2.0628e-02 3.8310e-03 9.4854e-03
5.0709e-05 5.9121e+06 4.1513e+00 1.5517e+00 3.7460e-02 4.7546e-02 1.6278e-02 1.1440e-02
5.3244e-05 5.6305e+06 3.1687e+00 1.5880e+00 7.9263e-02 1.8690e-01 4.5488e-02 5.6379e-02
5.5779e-05 5.3746e+06 7.6758e-01 6.0971e-01 6.1354e-02 2.0305e-01 4.1950e-02 6.4819e-02
