Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
4.9520e-07 6.0540e+08 4.6814e-01 4.0952e-01 8.5990e-03 8.6745e-02 1.2392e-02 9.0549e-02
5.0531e-07 5.9329e+08 1.0177e+00 2.4753e-01 1.4935e-02 4.5962e-02 1.0902e-02 7.0687e-02
5.1541e-07 5.8165e+08 5.5591e-01 4.5228e-02 2.3348e-02 2.0427e-02 1.6802e-02 1.2282e-01
5.2552e-07 5.7047e+08 4.7421e-03 1.1215e-02 2.6261e-02 2.9963e-02 2.2729e-02 2.0176e-01
5.3563e-07 5.5971e+08 4.6560e-01 8.5313e-02 2.1394e-02 4.4403e-02 2.2761e-02 2.0299e-01
5.4573e-07 5.4934e+08 1.0195e+00 8.1948e-02 1.3190e-02 3.3664e-02 1.7330e-02 1.2229e-01
5.5584e-07 5.3935e+08 5.6055e-01 9.9135e-03 6.7261e-03 1.2262e-02 9.8260e-03 5.0628e-02
5.6594e-07 5.2972e+08 5.0725e-03 3.3592e-02 2.9417e-03 1.0027e-02 2.9026e-03 2.5320e-02
5.7605e-07 5.2043e+08 4.6313e-01 1.5916e-01 1.0191e-03 2.6117e-02 5.0726e-04 1.0649e-02
5.8616e-07 5.1145e+08 1.0214e+00 1.9922e-01 2.1425e-03 3.7758e-02 6.5608e-03 1.0156e-02
5.9626e-07 5.0279e+08 5.6530e-01 8.7112e-02 6.9866e-03 3.4863e-02 1.6839e-02 6.2722e-02
6.0637e-07 4.9441e+08 5.4285e-03 4.9303e-03 1.1320e-02 2.3332e-02 1.9619e-02 1.3033e-01
6.1647e-07 4.8630e+08 4.6073e-01 9.6959e-02 9.7182e-03 9.9083e-03 1.0868e-02 1.2420e-01
6.2658e-07 4.7846e+08 1.0235e+00 2.3681e-01 4.1943e-03 2.7970e-03 1.3417e-03 5.0510e-02
6.3669e-07 4.7086e+08 5.7015e-01 2.2485e-01 3.3432e-03 1.2590e-02 1.2088e-03 5.9019e-03
6.4679e-07 4.6351e+08 5.8105e-03 8.5956e-02 1.0368e-02 3.5727e-02 5.7753e-03 2.2773e-02
6.5690e-07 4.5638e+08 4.5839e-01 2.1243e-03 1.7285e-02 5.0981e-02 5.5527e-03 4.0961e-02
6.6701e-07 4.4946e+08 1.0257e+00 2.9423e-02 1.5299e-02 4.6147e-02 1.9021e-03 3.4195e-02
6.7711e-07 4.4275e+08 5.7511e-01 5.8737e-02 6.6655e-03 3.2830e-02 1.3136e-03 3.8104e-02
6.8722e-07 4.3624e+08 6.2186e-03 2.7423e-02 7.4775e-04 2.3528e-02 2.3227e-03 5.1751e-02
6.9732e-07 4.2992e+08 4.5612e-01 1.3362e-05 1.2576e-03 1.4689e-02 1.5409e-03 4.1810e-02
7.0743e-07 4.2378e+08 1.0280e+00 2.3464e-02 3.7352e-03 6.3825e-03 5.0295e-03 4.1971e-02
7.1754e-07 4.1781e+08 5.8018e-01 4.7403e-02 4.2039e-03 1.4032e-02 1.7671e-02 1.0712e-01
7.2764e-07 4.1201e+08 6.6533e-03 3.1541e-02 3.5153e-03 3.9593e-02 2.7604e-02 1.7380e-01
7.3775e-07 4.0636e+08 4.5391e-01 1.6822e-02 2.8100e-03 5.4216e-02 2.0228e-02 1.2877e-01
7.4785e-07 4.0087e+08 1.0305e+00 3.6657e-02 1.2400e-03 3.6216e-02 4.1855e-03 2.1132e-02
7.5796e-07 3.9553e+08 5.8536e-01 5.1586e-02 4.8568e-05 7.6763e-03 2.2776e-03 1.9918e-02
