Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 4.4341e+07 1.0968e-04 3.2715e-17 1.5723e-12 1.4158e-07 1.7203e-08 6.4246e-08
6.7611e-06 4.4341e+07 5.1322e-04 3.3232e-17 1.5727e-12 1.4161e-07 1.7300e-08 6.4605e-08
1.3522e-05 2.2170e+07 1.7295e-03 3.5183e-17 1.5738e-12 1.4169e-07 1.7591e-08 6.5683e-08
2.0283e-05 1.4780e+07 3.7758e-03 3.9727e-17 1.5756e-12 1.4183e-07 1.8076e-08 6.7482e-08
2.7045e-05 1.1085e+07 6.6805e-03 4.8662e-17 1.5782e-12 1.4202e-07 1.8757e-08 7.0006e-08
3.3806e-05 8.8681e+06 1.0484e-02 6.4234e-17 1.5814e-12 1.4226e-07 1.9636e-08 7.3261e-08
4.0567e-05 7.3901e+06 1.5237e-02 8.8884e-17 1.5853e-12 1.4256e-07 2.0714e-08 7.7254e-08
4.7328e-05 6.3344e+06 2.1004e-02 1.2497e-16 1.5899e-12 1.4290e-07 2.1993e-08 8.1991e-08
5.4089e-05 5.5426e+06 2.7858e-02 1.7448e-16 1.5952e-12 1.4329e-07 2.3476e-08 8.7483e-08
6.0850e-05 4.9267e+06 3.5886e-02 2.3876e-16 1.6010e-12 1.4372e-07 2.5165e-08 9.3737e-08
6.7611e-05 4.4341e+06 4.5186e-02 3.1827e-16 1.6074e-12 1.4419e-07 2.7063e-08 1.0076e-07
7.4373e-05 4.0310e+06 5.5865e-02 4.1249e-16 1.6144e-12 1.4471e-07 2.9173e-08 1.0857e-07
8.1134e-05 3.6950e+06 6.8044e-02 5.1981e-16 1.6219e-12 1.4525e-07 3.1497e-08 1.1717e-07
8.7895e-05 3.4108e+06 8.1852e-02 6.3763e-16 1.6299e-12 1.4583e-07 3.4038e-08 1.2657e-07
9.4656e-05 3.1672e+06 9.7430e-02 7.6245e-16 1.6383e-12 1.4643e-07 3.6797e-08 1.3677e-07
1.0142e-04 2.9560e+06 1.1493e-01 8.9013e-16 1.6472e-12 1.4705e-07 3.9776e-08 1.4779e-07
1.0818e-04 2.7713e+06 1.3450e-01 1.0161e-15 1.6563e-12 1.4769e-07 4.2976e-08 1.5961e-07
1.1494e-04 2.6083e+06 1.5632e-01 1.1358e-15 1.6658e-12 1.4835e-07 4.6398e-08 1.7226e-07
1.2170e-04 2.4634e+06 1.8056e-01 1.2446e-15 1.6756e-12 1.4902e-07 5.0041e-08 1.8571e-07
1.2846e-04 2.3337e+06 2.0739e-01 1.3384e-15 1.6856e-12 1.4969e-07 5.3904e-08 1.9997e-07
1.3522e-04 2.2170e+06 2.3699e-01 1.4135e-15 1.6957e-12 1.5036e-07 5.7986e-08 2.1504e-07
1.4198e-04 2.1115e+06 2.6955e-01 1.4668e-15 1.7060e-12 1.5104e-07 6.2282e-08 2.3089e-07
1.4875e-04 2.0155e+06 3.0524e-01 1.4960e-15 1.7163e-12 1.5170e-07 6.6789e-08 2.4751e-07
1.5551e-04 1.9278e+06 3.4425e-01 1.4993e-15 1.7267e-12 1.5235e-07 7.1502e-08 2.6489e-07
1.6227e-04 1.8475e+06 3.8675e-01 1.4761e-15 1.7371e-12 1.5299e-07 7.6415e-08 2.8299e-07
1.6903e-04 1.7736e+06 4.3289e-01 1.4262e-15 1.7474e-12 1.5361e-07 8.1520e-08 3.0179e-07
1.7579e-04 1.7054e+06 4.8284e-01 1.3510e-15 1.7577e-12 1.5421e-07 8.6808e-08 3.2126e-07
1.8255e-04 1.6422e+06 5.3672e-01 1.2527e-15 1.7678e-12 1.5478e-07 9.2269e-08 3.4136e-07
1.8931e-04 1.5836e+06 5.9466e-01 1.1353e-15 1.7777e-12 1.5533e-07 9.7892e-08 3.6204e-07
1.9607e-04 1.5290e+06 6.5675e-01 1.0042e-15 1.7874e-12 1.5584e-07 1.0366e-07 3.8326e-07
2.0283e-04 1.4780e+06 7.2307e-01 8.6649e-16 1.7969e-12 1.5633e-07 1.0957e-07 4.0498e-07
2.0960e-04 1.4303e+06 7.9365e-01 7.3093e-16 1.8061e-12 1.5677e-07 1.1560e-07 4.2713e-07
2.1636e-04 1.3856e+06 8.6850e-01 6.0775e-16 1.8150e-12 1.5718e-07 1.2174e-07 4.4966e-07
2.2312e-04 1.3437e+06 9.4761e-01 5.0833e-16 1.8236e-12 1.5755e-07 1.2797e-07 4.7250e-07
2.2988e-04 1.3041e+06 1.0309e+00 4.4485e-16 1.8319e-12 1.5789e-07 1.3426e-07 4.9560e-07
2.3664e-04 1.2669e+06 1.1183e+00 4.2977e-16 1.8397e-12 1.5818e-07 1.4061e-07 5.1888e-07
2.4340e-04 1.2317e+06 1.2096e+00 4.7538e-16 1.8473e-12 1.5844e-07 1.4700e-07 5.4227e-07
2.5016e-04 1.1984e+06 1.3046e+00 5.9335e-16 1.8544e-12 1.5865e-07 1.5340e-07 5.6571e-07
2.5692e-04 1.1669e+06 1.4032e+00 7.9428e-16 1.8611e-12 1.5883e-07 1.5979e-07 5.8912e-07
2.6368e-04 1.1369e+06 1.5049e+00 1.0874e-15 1.8675e-12 1.5897e-07 1.6616e-07 6.1242e-07
2.7045e-04 1.1085e+06 1.6096e+00 1.4802e-15 1.8734e-12 1.5907e-07 1.7249e-07 6.3553e-07
2.7721e-04 1.0815e+06 1.7167e+00 1.9785e-15 1.8789e-12 1.5913e-07 1.7874e-07 6.5839e-07
2.8397e-04 1.0557e+06 1.8258e+00 2.5858e-15 1.8840e-12 1.5917e-07 1.8491e-07 6.8092e-07
2.9073e-04 1.0312e+06 1.9366e+00 3.3033e-15 1.8888e-12 1.5917e-07 1.9097e-07 7.0304e-07
2.9749e-04 1.0077e+06 2.0483e+00 4.1301e-15 1.8931e-12 1.5914e-07 1.9690e-07 7.2468e-07
3.0425e-04 9.8534e+05 2.1606e+00 5.0623e-15 1.8971e-12 1.5909e-07 2.0268e-07 7.4576e-07
3.1101e-04 9.6392e+05 2.2727e+00 6.0936e-15 1.9008e-12 1.5901e-07 2.0829e-07 7.6622e-07
3.1777e-04 9.4341e+05 2.3841e+00 7.2147e-15 1.9040e-12 1.5891e-07 2.1372e-07 7.8599e-07
3.2453e-04 9.2376e+05 2.4941e+00 8.4139e-15 1.9070e-12 1.5880e-07 2.1894e-07 8.0500e-07
3.3130e-04 9.0491e+05 2.6021e+00 9.6768e-15 1.9096e-12 1.5867e-07 2.2394e-07 8.2319e-07
3.3806e-04 8.8681e+05 2.7072e+00 1.0987e-14 1.9120e-12 1.5853e-07 2.2869e-07 8.4049e-07
3.4482e-04 8.6942e+05 2.8090e+00 1.2327e-14 1.9141e-12 1.5838e-07 2.3319e-07 8.5686e-07
3.5158e-04 8.5270e+05 2.9065e+00 1.3676e-14 1.9159e-12 1.5823e-07 2.3742e-07 8.7223e-07
3.5834e-04 8.3661e+05 2.9993e+00 1.5016e-14 1.9175e-12 1.5808e-07 2.4136e-07 8.8656e-07
3.6510e-04 8.2112e+05 3.0865e+00 1.6326e-14 1.9189e-12 1.5793e-07 2.4501e-07 8.9979e-07
3.7186e-04 8.0619e+05 3.1677e+00 1.7586e-14 1.9201e-12 1.5778e-07 2.4834e-07 9.1190e-07
3.7862e-04 7.9179e+05 3.2420e+00 1.8777e-14 1.9211e-12 1.5764e-07 2.5135e-07 9.2284e-07
3.8539e-04 7.7790e+05 3.3091e+00 1.9880e-14 1.9219e-12 1.5751e-07 2.5403e-07 9.3257e-07
3.9215e-04 7.6449e+05 3.3684e+00 2.0876e-14 1.9226e-12 1.5740e-07 2.5638e-07 9.4107e-07
3.9891e-04 7.5153e+05 3.4193e+00 2.1751e-14 1.9232e-12 1.5729e-07 2.5837e-07 9.4830e-07
4.0567e-04 7.3901e+05 3.4616e+00 2.2489e-14 1.9236e-12 1.5721e-07 2.6001e-07 9.5425e-07
