Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
4.9694e-04 6.0327e+05 4.3327e-01 1.3186e-01 2.2040e-30 1.1040e-25 1.3733e-23 1.2916e-23
5.0709e-04 5.9121e+05 3.4498e-01 1.0317e-01 2.1975e-30 1.1006e-25 1.3720e-23 1.2904e-23
5.1723e-04 5.7961e+05 2.7125e-01 8.0019e-02 2.1914e-30 1.0973e-25 1.3708e-23 1.2892e-23
5.2737e-04 5.6847e+05 2.1049e-01 6.1551e-02 2.1857e-30 1.0943e-25 1.3696e-23 1.2882e-23
5.3751e-04 5.5774e+05 1.6106e-01 4.6997e-02 2.1805e-30 1.0915e-25 1.3686e-23 1.2871e-23
5.4765e-04 5.4741e+05 1.2134e-01 3.5665e-02 2.1756e-30 1.0890e-25 1.3676e-23 1.2862e-23
5.5779e-04 5.3746e+05 8.9840e-02 2.6948e-02 2.1712e-30 1.0866e-25 1.3667e-23 1.2853e-23
5.6794e-04 5.2786e+05 6.5160e-02 2.0327e-02 2.1672e-30 1.0845e-25 1.3659e-23 1.2846e-23
5.7808e-04 5.1860e+05 4.6077e-02 1.5364e-02 2.1637e-30 1.0827e-25 1.3652e-23 1.2839e-23
5.8822e-04 5.0966e+05 3.1529e-02 1.1697e-02 2.1607e-30 1.0810e-25 1.3645e-23 1.2833e-23
5.9836e-04 5.0102e+05 2.0625e-02 9.0326e-03 2.1581e-30 1.0797e-25 1.3640e-23 1.2828e-23
6.0850e-04 4.9267e+05 1.2637e-02 7.1391e-03 2.1559e-30 1.0785e-25 1.3636e-23 1.2824e-23
6.1864e-04 4.8460e+05 6.9899e-03 5.8378e-03 2.1543e-30 1.0776e-25 1.3632e-23 1.2820e-23
6.2879e-04 4.7678e+05 3.2531e-03 4.9972e-03 2.1531e-30 1.0770e-25 1.3630e-23 1.2818e-23
6.3893e-04 4.6921e+05 1.1279e-03 4.5275e-03 2.1524e-30 1.0766e-25 1.3628e-23 1.2816e-23
6.4907e-04 4.6188e+05 4.3874e-04 4.3767e-03 2.1521e-30 1.0765e-25 1.3628e-23 1.2816e-23
