Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 1.4017e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.6292e+01 -8.5039e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9258e+02 -4.4477e-12 -1.1681e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8887e+02 -1.5430e-11 -2.7255e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8517e+02 -3.9436e-11 3.9930e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8146e+02 -8.7961e-11 1.8056e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7775e+02 -1.8049e-10 7.2161e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7404e+02 -3.4859e-10 2.0015e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.7033e+02 -6.4104e-10 4.6939e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
8.6662e+02 -1.1292e-09 9.9703e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.6292e+02 -1.9108e-09 1.9793e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0592e+03 -3.1069e-09 3.7303e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1555e+03 -4.8447e-09 6.7279e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2518e+03 -7.2105e-09 1.1659e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3481e+03 -1.0147e-08 1.9440e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4444e+03 -1.3258e-08 3.1172e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5407e+03 -1.5463e-08 4.7938e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6370e+03 -1.4423e-08 7.0300e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7332e+03 -5.6368e-09 9.7245e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
