Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
7.9232e+01 3.7837e+00 1.2415e-01 2.1030e-12 3.9929e-05 1.7766e-07 6.9351e-06 3.7642e-06
8.0849e+01 3.7080e+00 1.2961e-01 2.0492e-12 4.0051e-05 1.7980e-07 6.9493e-06 3.7706e-06
8.2466e+01 3.6353e+00 1.3521e-01 6.2318e-12 4.0109e-05 1.7731e-07 6.9567e-06 3.8000e-06
8.4083e+01 3.5654e+00 1.4095e-01 7.3066e-12 4.0198e-05 1.7590e-07 6.9923e-06 3.8263e-06
8.5700e+01 3.4982e+00 1.4683e-01 3.5337e-12 4.0360e-05 1.7921e-07 7.0389e-06 3.8303e-06
8.7317e+01 3.4334e+00 1.5285e-01 2.7212e-12 4.0502e-05 1.8187e-07 7.0598e-06 3.8362e-06
8.8934e+01 3.3710e+00 1.5901e-01 7.4782e-12 4.0574e-05 1.7978e-07 7.0680e-06 3.8652e-06
9.0551e+01 3.3108e+00 1.6532e-01 9.6010e-12 4.0662e-05 1.7791e-07 7.1017e-06 3.8947e-06
9.2168e+01 3.2527e+00 1.7178e-01 5.5114e-12 4.0827e-05 1.8085e-07 7.1519e-06 3.9018e-06
9.3785e+01 3.1966e+00 1.7838e-01 3.7326e-12 4.0988e-05 1.8403e-07 7.1793e-06 3.9073e-06
9.5402e+01 3.1424e+00 1.8514e-01 8.9166e-12 4.1075e-05 1.8245e-07 7.1889e-06 3.9354e-06
9.7019e+01 3.0900e+00 1.9205e-01 1.2322e-11 4.1163e-05 1.8023e-07 7.2205e-06 3.9675e-06
9.8636e+01 3.0394e+00 1.9912e-01 8.1337e-12 4.1329e-05 1.8275e-07 7.2731e-06 3.9778e-06
1.0025e+02 2.9904e+00 2.0634e-01 5.2012e-12 4.1508e-05 1.8639e-07 7.3069e-06 3.9828e-06
1.0187e+02 2.9429e+00 2.1372e-01 1.0597e-11 4.1614e-05 1.8543e-07 7.3186e-06 4.0096e-06
1.0349e+02 2.8969e+00 2.2126e-01 1.5496e-11 4.1703e-05 1.8297e-07 7.3477e-06 4.0439e-06
1.0510e+02 2.8523e+00 2.2897e-01 1.1498e-11 4.1868e-05 1.8503e-07 7.4018e-06 4.0576e-06
1.0672e+02 2.8091e+00 2.3683e-01 7.2635e-12 4.2063e-05 1.8905e-07 7.4419e-06 4.0624e-06
1.0834e+02 2.7672e+00 2.4487e-01 1.2590e-11 4.2188e-05 1.8878e-07 7.4563e-06 4.0875e-06
1.0995e+02 2.7265e+00 2.5307e-01 1.9147e-11 4.2280e-05 1.8619e-07 7.4832e-06 4.1237e-06
1.1157e+02 2.6870e+00 2.6144e-01 1.5698e-11 4.2443e-05 1.8774e-07 7.5379e-06 4.1408e-06
1.1319e+02 2.6486e+00 2.6998e-01 1.0073e-11 4.2651e-05 1.9206e-07 7.5838e-06 4.1457e-06
1.1481e+02 2.6113e+00 2.7870e-01 1.4990e-11 4.2796e-05 1.9253e-07 7.6019e-06 4.1691e-06
1.1642e+02 2.5750e+00 2.8759e-01 2.3307e-11 4.2894e-05 1.8992e-07 7.6267e-06 4.2066e-06
1.1804e+02 2.5398e+00 2.9666e-01 2.0825e-11 4.3054e-05 1.9093e-07 7.6812e-06 4.2274e-06
1.1966e+02 2.5054e+00 3.0592e-01 1.3801e-11 4.3272e-05 1.9544e-07 7.7327e-06 4.2329e-06
1.2127e+02 2.4720e+00 3.1535e-01 1.7918e-11 4.3438e-05 1.9668e-07 7.7550e-06 4.2543e-06
1.2289e+02 2.4395e+00 3.2497e-01 2.8015e-11 4.3543e-05 1.9417e-07 7.7783e-06 4.2929e-06
1.2451e+02 2.4078e+00 3.3477e-01 2.6964e-11 4.3698e-05 1.9463e-07 7.8319e-06 4.3174e-06
1.2612e+02 2.3770e+00 3.4476e-01 1.8627e-11 4.3924e-05 1.9920e-07 7.8885e-06 4.3239e-06
1.2774e+02 2.3469e+00 3.5494e-01 2.1525e-11 4.4111e-05 2.0122e-07 7.9158e-06 4.3435e-06
1.2936e+02 2.3175e+00 3.6532e-01 3.3322e-11 4.4226e-05 1.9893e-07 7.9381e-06 4.3826e-06
1.3098e+02 2.2889e+00 3.7589e-01 3.4195e-11 4.4377e-05 1.9884e-07 7.9902e-06 4.4108e-06
1.3259e+02 2.2610e+00 3.8666e-01 2.4745e-11 4.4607e-05 2.0335e-07 8.0513e-06 4.4190e-06
1.3421e+02 2.2338e+00 3.9762e-01 2.5994e-11 4.4814e-05 2.0614e-07 8.0841e-06 4.4368e-06
1.3583e+02 2.2072e+00 4.0879e-01 3.9300e-11 4.4942e-05 2.0418e-07 8.1061e-06 4.4760e-06
1.3744e+02 2.1812e+00 4.2016e-01 4.2593e-11 4.5088e-05 2.0356e-07 8.1563e-06 4.5080e-06
1.3906e+02 2.1558e+00 4.3174e-01 3.2353e-11 4.5320e-05 2.0790e-07 8.2212e-06 4.5183e-06
1.4068e+02 2.1311e+00 4.4352e-01 3.1539e-11 4.5545e-05 2.1141e-07 8.2600e-06 4.5344e-06
1.4229e+02 2.1068e+00 4.5551e-01 4.6044e-11 4.5688e-05 2.0991e-07 8.2825e-06 4.5733e-06
1.4391e+02 2.0832e+00 4.6772e-01 5.2231e-11 4.5831e-05 2.0881e-07 8.3305e-06 4.6089e-06
1.4553e+02 2.0600e+00 4.8014e-01 4.1651e-11 4.6061e-05 2.1284e-07 8.3984e-06 4.6219e-06
1.4715e+02 2.0374e+00 4.9277e-01 3.8407e-11 4.6303e-05 2.1702e-07 8.4436e-06 4.6366e-06
1.4876e+02 2.0152e+00 5.0563e-01 5.3680e-11 4.6462e-05 2.1609e-07 8.4674e-06 4.6749e-06
1.5038e+02 1.9936e+00 5.1870e-01 6.3178e-11 4.6604e-05 2.1458e-07 8.5129e-06 4.7139e-06
